Temperature,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DNI,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),Year
16.986621004566214,0.11799691780821918,0.6332602739726026,413668,3139422,2267878,8.727602739726027,530188,2219722,1870602,0.3030279680365297,62.870447488584475,89.69263127853881,0.9271358447488585,0.1384109589041096,984.3478310502284,1.5496461187214614,185.8640410958904,2.16560502283105,106560.797,83532.0074,1998
17.516050228310505,0.1079615296803653,0.6332602739726026,399721,3211015,2287349,6.460730593607306,509471,2464755,1981899,0.2959099315068493,53.492340182648405,89.6928002283105,0.9219041095890411,0.1384109589041096,985.3747716894977,1.379920091324201,176.53732876712328,2.1025799086757995,112779.0567,88402.942,1999
18.000399543378997,0.11556712328767124,0.6332602739726026,406402,3146360,2270368,8.214372146118722,516257,2370350,1969217,0.2951708904109589,57.71757305936073,89.72207990867581,0.9278424657534247,0.1383835616438356,985.0425799086757,1.5276027397260274,176.18093607305937,2.0634474885844747,112266.4321,88010.5713,2000
17.641347031963473,0.12631335616438358,0.6332602739726026,422270,3090562,2259090,8.283755707762557,558381,2252746,1946504,0.30191632420091324,58.85926826484018,89.6930696347032,0.9268732876712329,0.1356986301369863,984.812100456621,1.5539726027397263,174.85981735159817,1.9514383561643838,110983.4821,87009.2129,2001
17.571883561643837,0.13104143835616439,0.6332602739726026,421410,3108495,2270753,6.946187214611872,551234,2362992,1989105,0.2963954337899543,54.66565867579909,89.69314611872146,0.9163139269406393,0.1361369863013699,985.1184931506849,1.3893721461187214,175.32180365296804,2.033595890410959,113332.0068,88839.9012,2002
18.224817351598173,0.12691598173515983,0.6332602739726026,419462,3089843,2254101,8.261301369863014,560118,2267550,1943163,0.30068721461187214,57.063773972602746,89.69272260273972,0.9168949771689497,0.14419178082191783,984.5256849315068,1.6235616438356166,171.81335616438355,2.0333447488584477,110629.3668,86721.4007,2003
17.928835616438356,0.1143533105022831,0.6332602739726026,399934,3161157,2275073,8.01802511415525,516945,2438998,1999990,0.2994005707762557,57.120399543378994,89.72236643835618,0.9169200913242009,0.14186301369863014,984.6898401826484,1.4348744292237443,167.9892694063927,2.059235159817352,114160.4979,89493.3043,2004
17.689714611872144,0.12607294520547946,0.6332602739726026,416919,3092240,2258226,9.138481735159818,535786,2282676,1941242,0.29699394977168947,62.022400684931505,89.69263698630137,0.9187477168949773,0.1406301369863014,984.5917808219178,1.6105022831050229,167.55616438356165,2.021700913242009,110703.7226,86788.5706,2005
18.1112899543379,0.12066221461187214,0.6332602739726026,409481,3137042,2266158,7.395525114155252,547714,2383707,1975940,0.29708607305936074,54.779308219178084,89.69300114155251,0.9133538812785389,0.14400000000000002,984.844406392694,1.5441780821917808,172.24189497716895,2.0975228310502283,112385.0659,88090.8518,2006
17.864109589041096,0.1181117579908676,0.6332602739726026,403446,3157342,2274950,6.608504566210046,510422,2520839,2046298,0.2971220319634703,52.54949543378996,89.6928698630137,0.9111404109589041,0.14339726027397262,984.9123287671233,1.4561643835616438,166.74349315068494,2.079851598173516,116609.2208,91413.6597,2007
18.245433789954337,0.1246667808219178,0.6332602739726026,415975,3116080,2264022,7.348504566210046,510202,2511270,2043953,0.2934958904109589,54.28022602739726,89.72201255707762,0.9156666666666666,0.1424931506849315,984.6046803652968,1.5206164383561644,165.71792237442924,2.1172945205479454,116622.3028,91425.2021,2008
17.86406392694064,0.1447236301369863,0.6332602739726026,427392,3090660,2258145,7.273127853881278,545499,2380146,1987512,0.2953156392694064,54.97648515981735,89.69287557077625,0.916228310502283,0.1438082191780822,984.5849315068493,1.4874429223744292,167.5593607305936,2.0457762557077626,113255.9574,88779.8719,2009
